plate,plate_conf,vehicle_id,vehicle_class,violated,violation_type,frame,time_s,crop_path,plate_path
,0.0,407,motorcycle,True,NO_HELMET,510,8.495,violation_crops/violation_f510_id407_motorcycle.jpg,plate_crops/plate_f510_id407.jpg
WIDVOILZ,0.17174020441723215,438,car,True,RED_LIGHT,703,11.709,violation_crops/violation_f703_id438_car.jpg,plate_crops/plate_f703_id438.jpg
,0.0,491,motorcycle,True,RED_LIGHT,692,11.526,violation_crops/violation_f692_id491_motorcycle.jpg,plate_crops/plate_f692_id491.jpg
MUIK,0.14086629450321198,821,car,True,RED_LIGHT,780,12.992,violation_crops/violation_f780_id821_car.jpg,plate_crops/plate_f780_id821.jpg
KLOICR85Z8,0.46387781873902123,546,car,True,RED_LIGHT,793,13.208,violation_crops/violation_f793_id546_car.jpg,plate_crops/plate_f793_id546.jpg
1161,0.7932731509208679,682,car,True,RED_LIGHT,874,14.558,violation_crops/violation_f874_id682_car.jpg,plate_crops/plate_f874_id682.jpg
,0.0,1208,motorcycle,True,RED_LIGHT,961,16.007,violation_crops/violation_f961_id1208_motorcycle.jpg,plate_crops/plate_f961_id1208.jpg
,0.0,1177,truck,True,RED_LIGHT,984,16.29,,
AIOA,0.19151586294174194,1189,motorcycle,True,RED_LIGHT,1040,17.323,violation_crops/violation_f1040_id1189_motorcycle.jpg,plate_crops/plate_f1040_id1189.jpg
,0.0,1323,motorcycle,True,RED_LIGHT,1063,17.706,violation_crops/violation_f1063_id1323_motorcycle.jpg,plate_crops/plate_f1063_id1323.jpg
094O,0.034242164343595505,1306,motorcycle,True,RED_LIGHT,1101,18.339,violation_crops/violation_f1101_id1306_motorcycle.jpg,plate_crops/plate_f1101_id1306.jpg
KLOBYEZNE,0.1826949957089925,1333,car,True,RED_LIGHT,1151,19.171,violation_crops/violation_f1151_id1333_car.jpg,plate_crops/plate_f1151_id1333.jpg
,0.0,1133,car,True,RED_LIGHT,1235,20.571,violation_crops/violation_f1235_id1133_car.jpg,plate_crops/plate_f1235_id1133.jpg
,0.0,1348,motorcycle,True,RED_LIGHT,1366,22.753,violation_crops/violation_f1366_id1348_motorcycle.jpg,plate_crops/plate_f1366_id1348.jpg
KLO1AZL727,0.3085002334300226,1573,car,True,RED_LIGHT,1598,26.617,violation_crops/violation_f1598_id1573_car.jpg,plate_crops/plate_f1598_id1573.jpg
,0.0,1822,motorcycle,True,RED_LIGHT,1642,27.35,violation_crops/violation_f1642_id1822_motorcycle.jpg,plate_crops/plate_f1642_id1822.jpg
KLOICP9302,0.9735745577863767,1498,car,True,RED_LIGHT,1727,28.766,violation_crops/violation_f1727_id1498_car.jpg,plate_crops/plate_f1727_id1498.jpg
,0.0,1950,motorcycle,True,NO_HELMET+RED_LIGHT,1980,32.98,violation_crops/violation_f1980_id1950_motorcycle.jpg,plate_crops/plate_f1980_id1950.jpg
0338,0.9690341353416443,1800,car,True,RED_LIGHT,2088,34.778,violation_crops/violation_f2088_id1800_car.jpg,plate_crops/plate_f2088_id1800.jpg
